time,x,z,theta_deg,vx,vz,omega,cg_x,cg_z,target_x,target_z,ax_cmd,throttle,thrust,theta_control_term,omega_control_term,position_control_term,velocity_control_term,theta_ddot,ax_saturated
9.1,1.7579411932912345e-06,1.0,7.624490556410325e-05,-6.597064923416845e-06,0.0,-1.5665810241760121e-06,2.0906223532825728e-06,1.2499999999997786,0.0,1.0,1.3152072414492763e-05,0.39999999999999997,14.715,3.726028991904089e-05,-7.832905120880061e-06,3.515882386582469e-06,-1.9791194770250534e-05,1.5764857277759614e-07,0
9.11,1.6932857512985152e-06,1.0,7.534822401438422e-05,-6.465544199271917e-06,0.0,-1.565004538448236e-06,2.0220543999437365e-06,1.2499999999997837,0.0,1.0,1.2987004860815482e-05,0.39999999999999997,14.715,3.682208864827539e-05,-7.82502269224118e-06,3.3865715025970304e-06,-1.9396632597815753e-05,2.0325923659379102e-07,0
9.120000000000001,1.6299290097918775e-06,1.0,7.445270705430556e-05,-6.335674150663763e-06,0.0,-1.5629719460822981e-06,1.9547902285718963e-06,1.2499999999997888,0.0,1.0,1.2822432340553315e-05,0.39999999999999997,14.715,3.638445650337234e-05,-7.814859730411491e-06,3.259858019583755e-06,-1.9007022451991288e-05,2.4752771867059516e-07,0
9.13,1.5678545115192953e-06,1.0,7.355860832358615e-05,-6.2074498272582295e-06,0.0,-1.5604966688955922e-06,1.8888144886270782e-06,1.249999999999794,0.0,1.0,1.2658393632867512e-05,0.39999999999999997,14.715,3.594751743608157e-05,-7.802483344477961e-06,3.1357090230385905e-06,-1.862234948177469e-05,2.9047730952276393e-07,0
9.14,1.5070458526099997e-06,1.0,7.266617390525474e-05,-6.0808658909295545e-06,0.0,-1.5575918958003645e-06,1.824111849978285e-06,1.2499999999997988,0.0,1.0,1.2494926258686982e-05,0.39999999999999997,14.715,3.551139170525747e-05,-7.787959479001823e-06,3.0140917052199994e-06,-1.8242597672788664e-05,3.321310757484536e-07,0
9.15,1.4474866863265728e-06,1.0,7.177564245781187e-05,-5.955916628342685e-06,0.0,-1.55427058504288e-06,1.760667007232254e-06,1.2499999999998037,0.0,1.0,1.2332066503856157e-05,0.39999999999999997,14.715,3.507619594144546e-05,-7.7713529252144e-06,2.8949733726531456e-06,-1.7867749885028053e-05,3.725118587348114e-07,0
9.16,1.3891607266935315e-06,1.0,7.088724534610141e-05,-5.8325959633041235e-06,0.0,-1.550545466455532e-06,1.698464683933077e-06,1.2499999999998086,0.0,1.0,1.2169849442034949e-05,0.39999999999999997,14.715,3.4642043210837914e-05,-7.75272733227766e-06,2.778321453387063e-06,-1.749778788991237e-05,4.1164227347593483e-07,0
9.17,1.3320517520046939e-06,1.0,7.00012067708849e-05,-5.710897468883774e-06,0.0,-1.5464290437207727e-06,1.6374896366349402e-06,1.2499999999998135,0.0,1.0,1.2008308957350298e-05,0.39999999999999997,14.715,3.42090430785961e-05,-7.732145218603864e-06,2.6641035040093877e-06,-1.7132692406651324e-05,4.4954470750039855e-07,0
9.18,1.2761436082115911e-06,1.0,6.91177438971126e-05,-5.590814379310271e-06,0.0,-1.5419335966457687e-06,1.577726658850226e-06,1.2499999999998181,0.0,1.0,1.184747776679881e-05,0.39999999999999997,14.715,3.3777301671535285e-05,-7.709667983228843e-06,2.5522872164231822e-06,-1.6772443137930814e-05,4.862413199053795e-07,0
9.19,1.2214202121951684e-06,1.0,6.823706698088585e-05,-5.472339601642283e-06,0.0,-1.5370711834467148e-06,1.5191605848751891e-06,1.2499999999998228,0.0,1.0,1.1687387442400122e-05,0.39999999999999997,14.715,3.334692174017021e-05,-7.685355917233574e-06,2.4428404243903367e-06,-1.641701880492685e-05,5.217540404950808e-07,0
9.200000000000001,1.1678655549229856e-06,1.0,6.735937949510552e-05,-5.355465727218282e-06,0.0,-1.531853643041764e-06,1.4617762934954046e-06,1.2499999999998272,0.0,1.0,1.1528068433100819e-05,0.39999999999999997,14.715,3.2918002720118515e-05,-7.65926821520882e-06,2.335731109845971e-06,-1.6066397181654846e-05,5.561045690201017e-07,0
9.21,1.1154637044941129e-06,1.0,6.648487825380247e-05,-5.240185042887274e-06,0.0,-1.526292597351563e-06,1.4055587115731556e-06,1.2499999999998317,0.0,1.0,1.1369550086428664e-05,0.39999999999999997,14.715,3.2490640792860074e-05,-7.631462986757814e-06,2.2309274089882257e-06,-1.572055512866182e-05,5.893143745155512e-07,0
9.22,1.064198809073883e-06,1.0,6.561375353514603e-05,-5.126489542022987e-06,0.0,-1.5203994536064075e-06,1.3504928175189122e-06,1.2499999999998361,0.0,1.0,1.121186066989705e-05,0.39999999999999997,14.715,3.2064928945850286e-05,-7.601997268032037e-06,2.128397618147766e-06,-1.5379468626068963e-05,6.2140469473524e-07,0
9.23,1.014055099720643e-06,1.0,6.474618920312739e-05,-5.014370935324016e-06,0.0,-1.5141854066590552e-06,1.296563644649027e-06,1.2499999999998403,0.0,1.0,1.1055027392159708e-05,0.39999999999999997,14.715,3.1640957031985746e-05,-7.570927033295276e-06,2.028110199441286e-06,-1.5043112805972049e-05,6.523965356792322e-07,0
9.24,9.650168931066188e-07,1.0,6.388236282791509e-05,-4.903820661402419e-06,0.0,-1.5076614413022628e-06,1.2437562844317497e-06,1.2499999999998446,0.0,1.0,1.089907642391578e-05,0.39999999999999997,14.715,3.1218811828421116e-05,-7.538307206511314e-06,1.9300337862132377e-06,-1.4711461984207258e-05,6.823106712122995e-07,0
9.25,9.170685941349862e-07,1.0,6.302244580488051e-05,-4.794829897163261e-06,0.0,-1.5008383345901397e-06,1.192055889623644e-06,1.2499999999998488,0.0,1.0,1.0744032918565366e-05,0.39999999999999997,14.715,3.0798577094735875e-05,-7.504191672950699e-06,1.8341371882699724e-06,-1.4384489691489784e-05,7.111676427708067e-07,0
9.26,8.701946984552101e-07,1.0,6.216660347229162e-05,-4.6873895679776075e-06,0.0,-1.4937266581624316e-06,1.141447677298464e-06,1.2499999999998528,0.0,1.0,1.0589921032615831e-05,0.39999999999999997,14.715,3.038033363045039e-05,-7.468633290812158e-06,1.7403893969104202e-06,-1.4062168703932822e-05,7.389877591555914e-07,0
9.27,8.243797948786956e-07,1.0,6.131499522767389e-05,-4.581490357651449e-06,0.0,-1.4863367805708757e-06,1.0919169317705245e-06,1.2499999999998568,0.0,1.0,1.0436763945839205e-05,0.39999999999999997,14.715,2.9964159331890543e-05,-7.431683902854379e-06,1.6487595897573913e-06,-1.3744471072954349e-05,7.65791096408339e-07,0
9.28,7.79608567696765e-07,1.0,6.046777464283744e-05,-4.477122718193057e-06,0.0,-1.4786788696067924e-06,1.043449007414579e-06,1.2499999999998608,0.0,1.0,1.028458388118104e-05,0.39999999999999997,14.715,2.955012924840064e-05,-7.393394348033962e-06,1.55921713539353e-06,-1.343136815457917e-05,7.915974977691984e-07,0
9.290000000000001,7.358657989029526e-07,1.0,5.962508957757052e-05,-4.3742768793812464e-06,0.0,-1.4707628946291005e-06,9.960293313841958e-07,1.2499999999998646,0.0,1.0,1.0133402124421158e-05,0.39999999999999997,14.715,2.9138315637904493e-05,-7.3538144731455026e-06,1.4717315978059052e-06,-1.312283063814374e-05,8.16426573713429e-07,0
9.3,6.931363703215823e-07,1.0,5.8787082291999215e-05,-4.272942858137035e-06,0.0,-1.4625986288919662e-06,9.496434062305975e-07,1.2499999999998683,0.0,1.0,9.983239043586972e-06,0.39999999999999997,14.715,2.8728788021814746e-05,-7.312993144459831e-06,1.3862727406431646e-06,-1.2818828574411105e-05,8.402977020643543e-07,0
9.31,6.514052656445706e-07,1.0,5.7953889557614194e-05,-4.173110467701165e-06,0.0,-1.4541956518713227e-06,9.042768124239094e-07,1.249999999999872,0.0,1.0,9.834114108119808e-06,0.39999999999999997,14.715,2.8321613239290774e-05,-7.270978259356613e-06,1.3028105312891413e-06,-1.2519331403103497e-05,8.632300281808802e-07,0
9.32,6.10657572378371e-07,1.0,5.712564276696555e-05,-4.074769326619967e-06,0.0,-1.4455633515895139e-06,8.599152107787379e-07,1.2499999999998757,0.0,1.0,9.686045907794981e-06,0.39999999999999997,14.715,2.7916855500845714e-05,-7.227816757947569e-06,1.221315144756742e-06,-1.2224307979859902e-05,8.852424652172493e-07,0
9.33,5.708784837029508e-07,1.0,5.6302468042027163e-05,-3.977908867542018e-06,0.0,-1.4367109269373415e-06,8.165443447859761e-07,1.2499999999998792,0.0,1.0,9.539052171396395e-06,0.39999999999999997,14.715,2.7514576441303254e-05,-7.183554634686707e-06,1.1417569674059017e-06,-1.1933726602626054e-05,9.063536944525552e-07,0
9.34,5.320533002446703e-07,1.0,5.5484486341232605e-05,-3.882518345828054e-06,0.0,-1.427647389992816e-06,7.741500428527152e-07,1.2499999999998828,0.0,1.0,9.393149785146363e-06,0.39999999999999997,14.715,2.7114835172105266e-05,-7.13823694996408e-06,1.0641066004893406e-06,-1.1647555037484163e-05,9.26582165688384e-07,0
9.35,4.941674317649044e-07,1.0,5.467181356518465e-05,-3.7885868479765903e-06,0.0,-1.418381568335932e-06,7.32718220452111e-07,1.249999999999886,0.0,1.0,9.248354810891586e-06,0.39999999999999997,14.715,2.6717688332971207e-05,-7.091907841679661e-06,9.883348635298088e-07,-1.136576054392977e-05,9.459460977120414e-07,0
9.36,4.5720639876622766e-07,1.0,5.386456066104127e-05,-3.6961032998676746e-06,0.0,-1.4089221073588116e-06,6.922348821850389e-07,1.2499999999998894,0.0,1.0,9.104682504046115e-06,0.39999999999999997,14.715,2.632319014291074e-05,-7.044610536794058e-06,9.144127975324553e-07,-1.1088309899603024e-05,9.644634788238328e-07,0
9.370000000000001,4.2115583401795553e-07,1.0,5.306283372558101e-05,-3.6050564748272135e-06,0.0,-1.3992774725705734e-06,6.526861237553419e-07,1.2499999999998928,0.0,1.0,8.962147331292386e-06,0.39999999999999997,14.715,2.593139245059098e-05,-6.996387362852867e-06,8.423116680359111e-07,-1.081516942448164e-05,9.821520674257018e-07,0
9.38,3.8600148400281265e-07,1.0,5.22667341069511e-05,-3.5154350015142897e-06,0.0,-1.3894559518963163e-06,6.140581338604597e-07,1.249999999999896,0.0,1.0,8.820762988041186e-06,0.39999999999999997,14.715,2.5542344784060013e-05,-6.947279759481582e-06,7.720029680056253e-07,-1.054630500454287e-05,9.99029392669932e-07,0
9.39,3.517292102864739e-07,1.0,5.147635850510214e-05,-3.427227371633878e-06,0.0,-1.379465657969617e-06,5.763371959991983e-07,1.2499999999998992,0.0,1.0,8.68054241565175e-06,0.39999999999999997,14.715,2.5156094399828518e-05,-6.8973282898480846e-06,7.034584205729478e-07,-1.0281682114901633e-05,1.0151127551656013e-06,0
9.4,3.183249908117003e-07,1.0,5.0691799070913265e-05,-3.34042194747736e-06,0.0,-1.369314530417961e-06,5.395096901983811e-07,1.249999999999902,0.0,1.0,8.541497818413006e-06,0.39999999999999997,14.715,2.4772686331311492e-05,-6.846572652089805e-06,6.366499816234006e-07,-1.002126584243208e-05,1.0304192277410677e-06,0
